聂***周,2017-03-16 21:49:56,还可以   有时候会弹出来    指纹解锁有点慢   其他还可以
l***l,2017-03-16 21:39:59,不错正品
9***o,2017-03-16 21:35:52,手机杠杠的 像素 完爆oppor9pulse值得拥有物流 两天到货真快啊
霸***9,2017-03-16 21:19:17,第二天就收到了，很好！
张***5,2017-03-16 21:17:20,不错，挺好的
流***帝,2017-03-16 21:13:33,手机用了一周还不错反应速度什么的还可以，电池续航一般，不过很快充电
你***佬,2017-03-16 20:43:12,帮同事买的，还可以吧
丁***8,2017-03-16 20:36:48,顺丰就是快，第二天就以收到，目前用了还比较顺手，总得来说不错
居***尘,2017-03-16 20:27:49,先用用看
9***栈,2017-03-16 20:26:29,好用！顺丰就是快
淘***0,2017-03-16 20:11:14,此用户没有填写评论!
我***肉,2017-03-16 20:01:21,已经是第二次买小米手机了。个人觉得比较满意。支持小米！
哈***哈,2017-03-16 19:58:21,物流非常快，手机收到了，也非常好，用着，过后再来追评
t***0,2017-03-16 19:40:32,给弟弟买的他说还行。
彩***幻,2017-03-16 19:39:49,可以
r***0,2017-03-16 19:28:45,试用中，还不知道怎么样
t***3,2017-03-16 19:11:47,上当了，买回来没几天就出来死机了，客户也不行，另一小米手机GPS也没用了，对小米失望
y***8,2017-03-16 19:10:32,此用户没有填写评论!
风***康,2017-03-16 19:03:36,很好，漂亮，运行也
l***i,2017-03-16 19:03:11,快递很快！顺丰果然好。手机没得说，我家买了5个手机都是小米手机，方便！性价比高。唯一愿望，希望用两年不会卡。
t***3,2017-03-16 18:36:23,喜欢小米
旭***3,2017-03-16 18:26:03,除了指纹有点不好用以外别的都还可以
黄***4,2017-03-16 18:22:19,手机好用得不用说了，不为什么，只因为米粉，所以小米
c***3,2017-03-16 18:18:57,不错不错，新机刚拿到手上，快递很快，隔天就到，比之前用的魅族稍微窄了一点，手感不错，很棒的机器
x***0,2017-03-16 18:07:29,发现发热是何故
半***时,2017-03-16 18:01:34,手机收到了，用了几天还可以，就是音量键的设置感觉突出有点多。
k***r,2017-03-16 17:57:26,雷总 你的产品真的是为发烧而生 发热量真的不是一般的大啊
1***乐,2017-03-16 17:44:04,还可以吧，分期买的。手续费45啊。。。。。
c***8,2017-03-16 17:38:54,不错
t***8,2017-03-16 17:13:10,5星好评不用说，很好用，快递也很快！
浪***杀,2017-03-16 17:09:08,手机很好，
x***h,2017-03-16 16:53:09,小米依旧黑边硬伤，黑边大的恐怖?按键松动，工艺有待提升，机身边有个地方接边不吻合，给人感觉整体做的很粗糙，就是性能好！
逍***6,2017-03-16 16:48:56,给媳妇买的，很喜欢。手感不错，大小合适，照相清楚！
l***e,2017-03-16 16:46:08,用了一天，感觉很不错。没得说！
长***离,2017-03-16 16:42:20,手机用着还不错，没有卡顿，指纹解锁动画有点慢，电源键和音量键太突出，还有发货速度给0分，第一天下午下单的，第二天下午还没发，联系了客服去催（客服态度还是很好的），然后到这天晚上10点多才发货
q***6,2017-03-16 16:37:50,操作流畅性：很流畅。充电速度：充电速度一般。拍照效果：拍照很清晰。续航能力：续航能力很强，。信号强度：信号不错。
卖***孩,2017-03-16 16:33:15,还可以吧  比之前的版本还好
唐***位,2017-03-16 16:31:51,用了1星期，感觉3g内存确实不够用，没开几个应用就会卡，屏幕感觉一般般吧，其他方面都还不错。上一个手机屏幕摔碎了，在下一代旗舰还没出来前买手机，立刻想到了小米，性价比还是高
逗***心,2017-03-16 16:14:49,收到货到现在 一天充二次电，消息来了没有锁屏通知，刚拿到手还以为是个红米 有点失望
d***9,2017-03-16 16:10:22,发货的速度非常慢，说是七十二小时内发货，我的是在五十五小时后才发货，发的是顺丰，顺丰很快隔天就收到了，手机感觉还行黑色的所以没有黑边颜值在线，问题是指纹解锁时快时慢，有试过删除指纹重新录入，但没啥效果，还有，新的手机内存能用的只有1.5G，拍照还行，没试过夜拍所以不清楚，目前就这些
姚***量,2017-03-16 15:55:51,速度超级快呢！早上发货下午就到了，棒棒哒，永远的米粉
v***x,2017-03-16 15:48:43,帮人代买的。。。。。。。。。。
t***3,2017-03-16 15:47:14,漂亮，手机不错
t***1,2017-03-16 15:36:50,可以，快递动作很快，好评。
恋***9,2017-03-16 15:36:40,照相真的特别棒 系统相机自拍比美颜好看!
t***7,2017-03-16 15:26:46,还是可以，速度很快，下单的第二天就收到了
心***丶,2017-03-16 15:07:34,手机很不错，手感很好。小米手机一直都用。相信国产
不***王,2017-03-16 14:23:38,还好吧  等了一天才发货  不过发货第二天就收到了
h***0,2017-03-16 14:08:44,电池不耐用，一天都用不了
z***1,2017-03-16 13:32:10,小米5s让人失望，拍照渣渣，指纹解锁太垃圾了，这个必须要吐槽一下。手机玩游戏还是可以，还有一个问题别人打进来电话的时候铃声要过上两秒才会响，真是让人失望的手机。最后一个物流太慢！几天他才给我发货
c***1,2017-03-16 13:14:49,可以
壮***春,2017-03-16 12:48:20,快递很快，第一天晚上买的第二天早上到了，没想到！手机运行也挺快，不卡，态度也可以，第一次用小米，印象不错
骑***速,2017-03-16 12:28:59,手机收到了，手感还不错，就是外形不是那么好看，其他都还行，还在测试中
t***5,2017-03-16 12:22:50,给弟弟买的，他说用着还行，我也没多问，
z***m,2017-03-16 12:14:14,挺好的，比以前进步好多，散热处理比以前好，就是上支付宝有点卡，无论是无线网还是4g,截图画质不行，有待改进，再买个小米机器人用用
l***1,2017-03-16 12:13:13,好用，换机不用重新下载任何软件，自动更新并储存。设计者智慧、贴心。为国产手机小米点赞！
w***天,2017-03-16 12:12:37,小米手机一直在用，第四部小米了，总体感觉很好，指纹解锁确实不好，还能接受，3G运行内存也够用了，只是不能贴钢化膜，不过也没关系啦，支持小米，越做越好
李***昆,2017-03-16 11:57:20,速度真特么慢，没有手机就不要卖嘛。
李***4,2017-03-16 11:53:41,目前没有问题
t***2,2017-03-16 11:51:50,小米手机果然很好，用起来很流畅，就是不能插两个电信卡??但是在安兔兔上跑分很高，手机指纹解锁挺快的，并不像其他人说的那么慢
素***舞,2017-03-16 11:47:42,不错，挺好用的
小***具,2017-03-16 11:43:13,暂时满意，第一次用小米手机。
2***南,2017-03-16 11:36:03,还行
z***5,2017-03-16 11:25:50,宝贝挺不错的，发货速度快，卖家服务态度也好，以后还会继续光顾！
新***圆,2017-03-16 11:10:58,下单和收货同一天，太快速了。手机性能不错，外观漂亮。如果指纹锁在背面会更好。
呵***库,2017-03-16 11:07:23,可以，手感不错，运行流畅，两千左右的手机还是小米可以的，所以我一直都是用小米
福***1,2017-03-16 11:05:18,可以
w***豪,2017-03-16 10:36:35,机子还可以，就是发货太慢了，我第一天下的单，三天后才发货，还有就是咨询客服，半天没人回复我，差评差评差评！
石***1,2017-03-16 10:13:04,发货有点慢，别的都还不错?
河***8,2017-03-16 10:11:05,信号强度：满格。操作流畅性：流畅。续航能力：一般。拍照效果：高清。音质：OK。
c***1,2017-03-16 10:10:12,用着还可以，目前还没啥问题
c***o,2017-03-16 10:04:37,样子可以   就是拍照变色太厉害   高亮  美颜
幻***司,2017-03-16 09:44:58,一直是小米的忠实用户，感觉5s还不错，希望可以有进一步的评价和体验。
箫***辰,2017-03-16 09:42:44,买手机等了一周才发货，又等了一周才收到，用了小米好几个手机，支持国货吧，指纹处不是很灵敏，继续改进吧
y***7,2017-03-16 09:40:22,首先发货速度很慢，顺丰快递这次跟别的快递没什么区别，并没有特别大的优势。再就是手机，外观我挺喜欢的，但手机的指纹解锁那就是一个坑，无论更新系统还是重新设置，都得不到改善，而且还有严重闪屏现象，想退但我已经用了，算了，这次的手机真是令我失望到极点，我上次买的小米note都比这个好，一般都给好评的我这次真是无法给。
x***1,2017-03-16 09:03:16,手机速度快，黑边确实有点大
s***8,2017-03-16 08:53:12,帮同事买的，还不知道好不好用！
暗***痕,2017-03-16 08:52:32,第一次用旗舰机，感觉棒棒的
二***肉,2017-03-16 08:49:25,快递不到24个小时就到了，很快，我买的小米5s感觉手感太滑了容易掉，如果有送手机壳就好了，用起来还不错
不***嘛,2017-03-16 08:45:35,其余都好，就是耗电有点快，不过可以切换模式的，玩过游戏了很流畅，指纹解锁有时要多按几次也不是完全不能用，建议多录几个指纹，我觉得还挺好的，
